car_ID,CarName,fueltype,doornumber,carbody,wheelbase,curbweight,cylindernumber,enginesize,stroke,horsepower,peakrpm,citympg,price
1,alfa-romero giulia,gas,two,convertible,88.6,2548,four,130,2.68,111,5000,21,13495
2,alfa-romero stelvio,gas,two,convertible,88.6,2548,four,130,2.68,111,5000,21,16500
3,alfa-romero Quadrifoglio,gas,two,hatchback,94.5,2823,six,152,3.47,154,5000,19,16500
4,audi 100 ls,gas,four,sedan,99.8,2337,four,109,3.4,102,5500,24,13950
5,audi 100ls,gas,four,sedan,99.4,2824,five,136,3.4,115,5500,18,17450
6,audi fox,gas,two,sedan,99.8,2507,five,136,3.4,110,5500,19,15250
7,audi 100ls,gas,four,sedan,105.8,2844,five,136,3.4,110,5500,19,17710
8,audi 5000,gas,four,wagon,105.8,2954,five,136,3.4,110,5500,19,18920
9,audi 4000,gas,four,sedan,105.8,3086,five,131,3.4,140,5500,17,23875
10,audi 5000s (diesel),gas,two,hatchback,99.5,3053,five,131,3.4,160,5500,16,17859.167
11,bmw 320i,gas,two,sedan,101.2,2395,four,108,2.8,101,5800,23,16430
12,bmw 320i,gas,four,sedan,101.2,2395,four,108,2.8,101,5800,23,16925
13,bmw x1,gas,two,sedan,101.2,2710,six,164,3.19,121,4250,21,20970
14,bmw x3,gas,four,sedan,101.2,2765,six,164,3.19,121,4250,21,21105
15,bmw z4,gas,four,sedan,103.5,3055,six,164,3.19,121,4250,20,24565
16,bmw x4,gas,four,sedan,103.5,3230,six,209,3.39,182,5400,16,30760
17,bmw x5,gas,two,sedan,103.5,3380,six,209,3.39,182,5400,16,41315
18,bmw x3,gas,four,sedan,110,3505,six,209,3.39,182,5400,15,36880
19,chevrolet impala,gas,two,hatchback,88.4,1488,three,61,3.03,48,5100,47,5151
20,chevrolet monte carlo,gas,two,hatchback,94.5,1874,four,90,3.11,70,5400,38,6295
21,chevrolet vega 2300,gas,four,sedan,94.5,1909,four,90,3.11,70,5400,38,6575
